ds,yhat,yhat_lower,yhat_upper
2016-09-01,152833.18677507332,-214860.08059791033,533845.2169356188
2016-10-01,257321.87417380972,-113779.40274659022,609797.5060031061
2016-12-01,270438.769927657,-60889.15914924042,620944.5680481748
2017-01-01,407261.31849490927,34188.04184293084,744171.4271487251
2017-02-01,546861.12196285,201167.09048806835,903034.8666375097
2017-03-01,894536.7541304748,534676.2686471812,1235346.369401712
2017-04-01,775940.5530275537,435535.3155572421,1164099.5771008949
2017-05-01,923900.4736884366,591597.3953307212,1291331.4973776368
2017-06-01,756233.7984164718,422061.39329779526,1124611.2703289108
2017-07-01,823082.889984073,476130.9485440327,1180261.5008855467
2017-08-01,820089.2728820479,472152.407757038,1171429.128601491
2017-09-01,572739.1817118133,211460.40726422225,934698.1459874267
2017-10-01,566066.2439544806,198537.90222853125,919893.4348154819
2017-11-01,1178090.8685090751,843913.6463807691,1554688.2752360136
2017-12-01,595863.8341189577,239882.78404318975,950882.5505059202
2018-01-01,823307.0090323697,474280.8544856081,1173408.3736306264
2018-02-01,716576.3432544648,336726.8019248842,1089773.8602854947
2018-03-01,663749.4261390524,310556.5782367011,1030937.9859810203
2018-04-01,771804.7296880868,407057.1234601841,1114196.286533856
2018-05-01,795295.9136416368,437528.0904081877,1150904.3177031558
2018-06-01,769733.6531519891,416025.5743867632,1151621.0998052603
2018-07-01,794622.6748198344,432637.8151446256,1165127.7959226877
2018-08-01,834879.0088851787,465472.37772896996,1192917.424560904
2018-09-01,992016.9315343613,626002.3036550002,1312312.4312971083
2018-10-01,852786.2921648913,494947.50046610844,1192487.1940930441
2018-11-01,-63895.42559005753,-455279.0018218439,269878.7266883771
